鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,5.67,工,,,1091026,土地1建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,52.349999999999994,0,0,0,無,有,有,16000,306,,0.0,0,,RPPNMLLJJIPFFEF08CC
淡水區,車位,新北市淡水區中正東路二段61~90號,0.61,住,,,1091028,土地0建物0車位1,,,其他,,,,10.75,0,0,0,有,有,有,1800,,坡道機械,10.75,1800,,RPQNMLLJJIPFFEF18CC
淡水區,車位,新北市淡水區民權路1~30號,0.11,工,,,1091030,土地0建物0車位1,,,其他,,,,34.83,0,0,0,有,有,無,3000,,坡道平面,34.83,3000,,RPRNMLLJJIPFFEF28CC
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段61~90號,4.62,住,,,1091101,土地1建物1車位1,三十二層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880704,91.22,2,2,1,有,有,有,23000,252,坡道機械,20.73,0,,RPUNMLMJJIPFFEF68CC
淡水區,建物,新北市淡水區新民街一段1~30號,0.0,住,,,1091031,土地0建物1車位1,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981225,126.11000000000001,2,1,2,有,有,有,16000,127,坡道平面,29.92,1000,此為新北市社會住宅包租代管計畫之物件，評定市價租金為17778，因為新北市計畫租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為16000。,RPPQMLMJJIPFFEF48CC
永和區,建物,新北市永和區秀朗路二段61~90號,0.0,住,,,1091015,土地0建物1車位0,見其他登記事項,15,店面(店鋪),見其他登記事項,見其他登記事項,1050718,109.22999999999999,0,1,1,有,有,有,40000,366,,0.0,0,含增建或未登記建物。;含管理費、稅金或水電等費用。;,RPTQMLMJJIPFFHF56CC
新店區,房地(土地+建物),新北市新店區北新路二段181~210號,8.57,住,,,1091101,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871201,68.49,2,2,1,有,有,有,21000,307,,0.0,0,,RPPNMLMJJIPFFCF18EC
淡水區,車位,新北市淡水區民權路1~30號,0.11,工,,,1090921,土地0建物0車位1,,,其他,,,,34.83,0,0,0,有,有,有,2600,,坡道平面,34.83,2600,,RPQNMLMJJIPFFEF48EC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段241~270號,10.58,商,,,1090919,土地1建物1車位1,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,148.70999999999998,3,2,2,有,有,有,17900,120,坡道平面,30.84,0,含管理費、稅金或水電等費用。;,RPRNMLMJJIPFFEF58EC
